id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
000489b1-3119-46ca-94fe-dfb3527bcf01,stared.menu,available,38.98,,56,4,6,namecheap,,
0050d915-e710-4222-8a04-35bf5c95d00e,beawake.menu,available,38.98,,84,3,8,namecheap,,
0068fa30-11b9-4ded-9ec9-707f61a5d9b4,types.menu,available,38.98,,54,14,5,namecheap,,
00748828-e606-453d-a5b4-167aa78b6258,justgone.menu,available,38.98,,61,2,9,namecheap,,
00804b06-d276-43e4-8603-1ad2915929df,softenup.menu,available,38.98,,68,1,9,namecheap,,
009d05cd-20de-44cd-afe0-7481dab1d99a,superhero.menu,available,38.98,,84,23,9,namecheap,,
00d87ad1-b44f-43b3-a86c-f5af86d4b3d0,slowcookers.menu,available,27.99,27.99,55,2,12,namesilo,,
00f5d93a-59d9-4e32-9295-4a82cd607d07,getlife.menu,available,38.98,,80,5,8,namecheap,,
0106aed4-73a5-403d-91cd-bc1364533d5a,rakeover.menu,available,38.98,,66,1,9,namecheap,,
010d9e28-7720-4e27-8f11-5dcf5082d43a,coffeeculture.menu,available,38.98,,72,4,14,namecheap,,
017d8555-fe3c-4089-810c-1aa9fd491a4d,Ispy.menu,premium,,,76,14,5,,,
01a11039-6f48-462d-8569-c626af1abf97,fundamentals.menu,available,38.98,,74,15,12,namecheap,,
01af522e-9f81-44ca-aa77-dcc30fe5d1ec,sighed.menu,available,38.98,,56,2,6,namecheap,,
01d54e49-ffdb-4852-a848-92dc6381eba5,Ilostmywallet.menu,premium,,,50,1,16,,,
01f4e4e2-e5f1-45f0-b0a4-5e8582d986a3,inorderfor.menu,available,38.98,,60,0,12,namecheap,,
01fb4a3f-b9b1-43f4-adf9-94329d5a63c6,childmurderer.menu,available,38.98,,30,1,14,namecheap,,
01fcf37e-392c-4831-98c9-ff8ab2b6e7f5,spellout.menu,available,38.98,,76,2,9,namecheap,,
020e57aa-d804-4018-a448-c1556bfe779d,ideclension.menu,available,38.98,,58,1,12,namecheap,,
021cf653-2633-4cb2-9691-701abb15dafc,shoveover.menu,available,38.98,,59,1,10,namecheap,,
